player_name,Bethany Mead,Danielle van de Donk,Dominique Johanna Anna Petrone Janssen,Emma Mukandi,Jordan Nobbs,Kim Little,Leah Williamson,Lia Wälti,Lisa Evans,Pauline Peyraud Magnin,Vivianne Miedema
Bethany Mead,0.0,0.0,0.2,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0
Danielle van de Donk,0.15789473684210525,0.0,0.0,0.0,0.05263157894736842,0.21052631578947367,0.15789473684210525,0.10526315789473684,0.21052631578947367,0.0,0.10526315789473684
Dominique Johanna Anna Petrone Janssen,0.23529411764705882,0.0,0.0,0.17647058823529413,0.058823529411764705,0.17647058823529413,0.11764705882352941,0.11764705882352941,0.0,0.058823529411764705,0.058823529411764705
Emma Mukandi,0.25,0.0,0.1875,0.0,0.0625,0.0625,0.0,0.1875,0.0,0.0,0.25
Jordan Nobbs,0.06666666666666667,0.26666666666666666,0.0,0.0,0.0,0.2,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.0,0.13333333333333333
Kim Little,0.0,0.23529411764705882,0.11764705882352941,0.17647058823529413,0.17647058823529413,0.0,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.0,0.11764705882352941
Leah Williamson,0.0,0.0,0.3,0.1,0.1,0.2,0.0,0.0,0.1,0.2,0.0
Lia Wälti,0.0,0.15,0.1,0.4,0.1,0.05,0.1,0.0,0.1,0.0,0.0
Lisa Evans,0.0,0.36,0.0,0.0,0.12,0.08,0.08,0.16,0.0,0.0,0.2
Pauline Peyraud Magnin,0.25,0.25,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0
Vivianne Miedema,0.0,0.2,0.0,0.2,0.1,0.1,0.1,0.3,0.0,0.0,0.0
