player_name,Bethany Mead,Danielle van de Donk,Dominique Johanna Anna Petrone Janssen,Emma Mukandi,Jordan Nobbs,Kim Little,Leah Williamson,Lia Wälti,Lisa Evans,Pauline Peyraud Magnin,Vivianne Miedema
Bethany Mead,,,1.0,,2.0,2.0,,,,,
Danielle van de Donk,3.0,,,,1.0,4.0,3.0,2.0,4.0,,2.0
Dominique Johanna Anna Petrone Janssen,4.0,,,3.0,1.0,3.0,2.0,2.0,,1.0,1.0
Emma Mukandi,4.0,,3.0,,1.0,1.0,,3.0,,,4.0
Jordan Nobbs,1.0,4.0,,,,3.0,2.0,1.0,2.0,,2.0
Kim Little,,4.0,2.0,3.0,3.0,,1.0,1.0,1.0,,2.0
Leah Williamson,,,3.0,1.0,1.0,2.0,,,1.0,2.0,
Lia Wälti,,3.0,2.0,8.0,2.0,1.0,2.0,,2.0,,
Lisa Evans,,9.0,,,3.0,2.0,2.0,4.0,,,5.0
Pauline Peyraud Magnin,3.0,3.0,4.0,,,,,,2.0,,
Vivianne Miedema,,2.0,,2.0,1.0,1.0,1.0,3.0,,,
