player_name,Bethany Mead,Dominique Johanna Anna Petrone Janssen,Janni Arnth-Jensen,Katie McCabe,Kim Little,Leah Williamson,Lia Wälti,Lisa Evans,Louise Quinn,Pauline Peyraud Magnin,Vivianne Miedema
Bethany Mead,,1.0,1.0,1.0,2.0,,1.0,1.0,,,
Dominique Johanna Anna Petrone Janssen,1.0,,4.0,2.0,2.0,2.0,,2.0,1.0,,
Janni Arnth-Jensen,2.0,2.0,,4.0,,,5.0,,6.0,5.0,1.0
Katie McCabe,2.0,1.0,7.0,,3.0,,4.0,,1.0,,
Kim Little,,2.0,,4.0,,3.0,,,,,2.0
Leah Williamson,,5.0,3.0,,2.0,,1.0,8.0,,1.0,2.0
Lia Wälti,1.0,,1.0,4.0,3.0,,,1.0,2.0,,
Lisa Evans,2.0,2.0,,,1.0,4.0,,,1.0,,1.0
Louise Quinn,,1.0,5.0,,,7.0,,1.0,,2.0,
Pauline Peyraud Magnin,1.0,,6.0,2.0,,2.0,,1.0,3.0,,
Vivianne Miedema,,,,,1.0,1.0,,,,,
