player_name,Bethany Mead,Danielle van de Donk,Jennifer Patricia Beattie,Jill Roord,Katie McCabe,Kim Little,Leah Williamson,Lia Wälti,Lisa Evans,Manuela Zinsberger,Vivianne Miedema
Bethany Mead,,1.0,1.0,3.0,5.0,1.0,,2.0,2.0,,
Danielle van de Donk,1.0,,1.0,5.0,,2.0,2.0,3.0,5.0,,
Jennifer Patricia Beattie,4.0,2.0,,2.0,15.0,7.0,10.0,5.0,1.0,7.0,
Jill Roord,4.0,2.0,,,1.0,4.0,1.0,4.0,2.0,,3.0
Katie McCabe,7.0,1.0,14.0,2.0,,6.0,1.0,7.0,,,
Kim Little,,6.0,8.0,2.0,5.0,,3.0,2.0,5.0,3.0,2.0
Leah Williamson,3.0,2.0,15.0,3.0,6.0,4.0,,3.0,10.0,7.0,1.0
Lia Wälti,1.0,3.0,1.0,1.0,3.0,3.0,8.0,,7.0,1.0,2.0
Lisa Evans,2.0,13.0,,1.0,,1.0,9.0,3.0,,1.0,7.0
Manuela Zinsberger,,,10.0,3.0,4.0,,12.0,4.0,1.0,,
Vivianne Miedema,1.0,3.0,,2.0,,2.0,,1.0,1.0,,
