player_name,Danielle van de Donk,Jill Roord,Jordan Nobbs,Katie McCabe,Kim Little,Leah Williamson,Lia Wälti,Louise Quinn,Manuela Zinsberger,Viktoria Schnaderbeck,Vivianne Miedema
Danielle van de Donk,,1.0,5.0,,1.0,1.0,3.0,,,2.0,1.0
Jill Roord,1.0,,1.0,4.0,5.0,1.0,3.0,,,2.0,2.0
Jordan Nobbs,5.0,2.0,,3.0,2.0,,3.0,1.0,,2.0,1.0
Katie McCabe,,5.0,6.0,,3.0,1.0,2.0,5.0,2.0,,2.0
Kim Little,3.0,2.0,2.0,5.0,,1.0,6.0,,,3.0,
Leah Williamson,,,1.0,,2.0,,4.0,5.0,2.0,11.0,1.0
Lia Wälti,7.0,2.0,1.0,4.0,4.0,4.0,,5.0,,1.0,
Louise Quinn,,2.0,2.0,6.0,2.0,5.0,2.0,,6.0,,1.0
Manuela Zinsberger,1.0,2.0,,1.0,,9.0,,4.0,,,
Viktoria Schnaderbeck,5.0,3.0,4.0,,3.0,3.0,2.0,,1.0,,2.0
Vivianne Miedema,3.0,2.0,1.0,,,,1.0,1.0,,,
