player_name,Bethany Mead,Carlotte Wubben-Moy,Danielle van de Donk,Jill Roord,Katie McCabe,Leah Williamson,Lia Wälti,Lisa Evans,Lydia Grace Yilkari Williams,Noelle Maritz,Vivianne Miedema
Bethany Mead,,4.0,1.0,2.0,2.0,1.0,1.0,3.0,,2.0,1.0
Carlotte Wubben-Moy,4.0,,2.0,,15.0,5.0,12.0,2.0,14.0,2.0,1.0
Danielle van de Donk,,1.0,,2.0,1.0,6.0,4.0,2.0,,4.0,1.0
Jill Roord,5.0,,3.0,,3.0,,3.0,2.0,,9.0,4.0
Katie McCabe,3.0,15.0,2.0,6.0,,2.0,4.0,1.0,2.0,1.0,5.0
Leah Williamson,2.0,3.0,4.0,4.0,5.0,,2.0,,11.0,11.0,2.0
Lia Wälti,2.0,9.0,2.0,1.0,8.0,6.0,,,2.0,4.0,2.0
Lisa Evans,2.0,,1.0,3.0,2.0,1.0,1.0,,,4.0,
Lydia Grace Yilkari Williams,,15.0,1.0,,6.0,8.0,4.0,,,2.0,1.0
Noelle Maritz,3.0,,2.0,9.0,,11.0,7.0,9.0,1.0,,3.0
Vivianne Miedema,1.0,,,,3.0,,3.0,,,1.0,
