player_name,Bethany Mead,Caitlin Jade Foord,Carlotte Wubben-Moy,Jill Roord,Katie McCabe,Kim Little,Leah Williamson,Leonie Maier,Lia Wälti,Manuela Zinsberger,Vivianne Miedema
Bethany Mead,,,,,,2.0,1.0,5.0,,,2.0
Caitlin Jade Foord,,,,2.0,2.0,1.0,,,1.0,,
Carlotte Wubben-Moy,,,,3.0,16.0,,8.0,,5.0,11.0,
Jill Roord,,1.0,3.0,,2.0,2.0,1.0,4.0,4.0,2.0,1.0
Katie McCabe,,6.0,8.0,5.0,,1.0,2.0,,,,2.0
Kim Little,5.0,2.0,,,1.0,,3.0,1.0,,,1.0
Leah Williamson,2.0,1.0,21.0,,,1.0,,6.0,1.0,8.0,1.0
Leonie Maier,7.0,,,3.0,,1.0,9.0,,2.0,2.0,
Lia Wälti,1.0,3.0,2.0,1.0,,1.0,4.0,1.0,,2.0,
Manuela Zinsberger,,,10.0,,3.0,,14.0,2.0,,,
Vivianne Miedema,,,,,1.0,1.0,,,1.0,1.0,
